SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1823003	530	530
1824017	543	543
1825027	498	498
1826122	517	517
1827136	527	527
1828136	524	524
1829150	479	479
1830152	546	546
1831161	502	502
1832171	497	497
1833207	508	508
1834225	519	519
1835232	528	528
1836287	500	500
1837339	500	500
1838374	510	510
1839399	498	498
1840399	529	529
1841405	511	511
1842513	511	511
1843520	540	540
1844530	524	524
1845584	513	513
1846662	492	492
1847666	502	502
1848674	473	473
1849687	525	525
1850748	459	459
1851749	511	511
1852752	511	511
1853765	509	509
1854832	509	509
1855852	540	540
1856864	531	531
1857896	469	469
1858953	478	478
1860018	514	514
1861036	490	490
1862069	467	467
1863082	470	470
1864084	491	491
1865091	489	489
1866149	486	486
1867162	516	516
1868172	511	511
1869219	499	499
1870235	480	480
1871251	469	469
1872260	468	468
1873264	509	509
1874277	476	476
1875297	462	462
1876309	496	496
1877322	487	487
1878322	486	486
1879419	470	470
